Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
5903,5903,2584412512.jpg#4r1e,entailment,Two dogs are playing together.,Two canines are having fun.,"Dogs are canines, and playing is a form of having fun.", Two *dogs* are *playing* together., Two *canines* are *having* *fun.*,"Dogs are canines, and playing is a way of having fun.", Two *dogs* are *playing* together., Two *canines* are *having* *fun.*,two dogs are two canines and playing together means having fun, *Two* *dogs* are *playing* *together.*, *Two* *canines* are *having* *fun.*,"['dogs', 'playing']","['canines', 'having', 'fun.']","['dogs', 'playing']","['canines', 'having', 'fun.']","['Two', 'dogs', 'playing', 'together.']","['Two', 'canines', 'having', 'fun.']",classification,1
5905,5905,4789495327.jpg#0r1e,entailment,"A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking.",The woman was talking on the phone.,A woman holding a yellow cellphone against her ear while talking is a description of a woman talking on the phone.," A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is *holding* *a* *yellow* *cellphone* *against* *her* *ear* *while* *talking.*", The woman was *talking* *on* *the* *phone.*,"Holding a yellow cellphone against her ear while talking implies talking on the phone, and a cellphone is a type of phone."," A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is *holding* *a* *yellow* *cellphone* *against* *her* *ear* *while* *talking.*", The woman was *talking* *on* *the* *phone.*,"Middle-aged woman is a woman, and cellphone is a type of phone."," A *middle-aged* *woman* with red-hair, a white shirt, and a silver beaded necklace is holding a yellow *cellphone* against her ear while talking.", The *woman* was talking on the *phone.*,"['holding', 'a', 'yellow', 'cellphone', 'against', 'her', 'ear', 'while', 'talking.']","['talking', 'on', 'the', 'phone.']","['holding', 'a', 'yellow', 'cellphone', 'against', 'her', 'ear', 'while', 'talking.']","['talking', 'on', 'the', 'phone.']","['middle-aged', 'woman', 'cellphone']","['woman', 'phone.']",classification,"2,3"
5909,5909,4399206310.jpg#0r1e,entailment,A man is holding a cigarette outdoors in front of a blue wall with a sink on it.,A man holding a cigarette.,"""A man is holding a cigarette"" means the same as ""A man holding a cigarette"".", *A* *man* *is* *holding* *a* *cigarette* outdoors in front of a blue wall with a sink on it., *A* *man* *holding* *a* *cigarette.*,Holding a cigarette outdoors is a form of holding a cigarette., A man is *holding* *a* *cigarette* *outdoors* in front of a blue wall with a sink on it., A man *holding* *a* *cigarette.*,Both sentences mention a man holding a cigarette., A *man* is *holding* *a* *cigarette* outdoors in front of a blue wall with a sink on it., A *man* *holding* *a* *cigarette.*,"['A', 'man', 'is', 'holding', 'a', 'cigarette']","['A', 'man', 'holding', 'a', 'cigarette.']","['holding', 'a', 'cigarette', 'outdoors']","['holding', 'a', 'cigarette.']","['man', 'holding', 'a', 'cigarette']","['man', 'holding', 'a', 'cigarette.']",classification,2
5922,5922,3069701112.jpg#1r1e,entailment,Navy men stand along a red carpet and salute as their superior walks by.,Some men are standing on a carpet.,Navy men are some men., *Navy* *men* stand along a red carpet and salute as their superior walks by., *Some* *men* are standing on a carpet.,"Navy men are some men, and a red carpet is a type of carpet.", *Navy* *men* stand along a *red* *carpet* and salute as their superior walks by., *Some* *men* are standing on a *carpet.*,Navy men are some men., *Navy* *men* stand along a red carpet and salute as their superior walks by., *Some* *men* are standing on a carpet.,"['Navy', 'men']","['Some', 'men']","['Navy', 'men', 'red', 'carpet']","['Some', 'men', 'carpet.']","['Navy', 'men']","['Some', 'men']",classification,2
5941,5941,4663171720.jpg#1r1e,entailment,A young couple holding hands in the park.,A couple are at the park.,THE COUPLE COULD BE YOUNG., A *young* *couple* holding hands in the park., A *couple* are at the park.,The couple is at a park., A young *couple* holding hands in the *park.*, A *couple* are at the *park.*,Young couple is a type of couple., A *young* *couple* holding hands in the park., A *couple* are at the park.,"['young', 'couple']",['couple'],"['couple', 'park.']","['couple', 'park.']","['young', 'couple']",['couple'],classification,3
5971,5971,2943399558.jpg#1r1e,entailment,"A person is climbing a wooden ladder on a very steep, jagged, rock cliff.",A person is climbing a steep cliff.,Climbing a steep rock cliff can be simply described as climbing a steep cliff.," A person is *climbing* a wooden ladder on a very *steep,* jagged, *rock* *cliff.*", A person is *climbing* a *steep* *cliff.*,"Jagged, rock cliff is a type of steep cliff."," A person is climbing a wooden ladder on a very steep, *jagged,* *rock* *cliff.*", A person is climbing a *steep* *cliff.*,The person climbing a ladder on a cliff is climbing the cliff.," A person is *climbing* a wooden *ladder* *on* a very steep, jagged, *rock* *cliff.*", A person is *climbing* a steep *cliff.*,"['climbing', 'steep', 'rock', 'cliff.']","['climbing', 'steep', 'cliff.']","['jagged', 'rock', 'cliff.']","['steep', 'cliff.']","['climbing', 'ladder', 'on', 'rock', 'cliff.']","['climbing', 'cliff.']",classification,2
6014,6014,5269420231.jpg#2r1n,entailment,"A young girl, is mid jump, while performing a dance routine.",A young girl is dancing.,A girl performing a dance routine is dancing.," A young girl, is mid jump, while *performing* *a* *dance* *routine.*", A young girl is *dancing.*,A dance routine is a type of dancing.," A young girl, is mid jump, while performing a *dance* *routine.*", A young girl is *dancing.*,Performing a dance routine is a form of dancing.," A young girl, is mid jump, while *performing* *a* *dance* *routine.*", A young girl is *dancing.*,"['performing', 'a', 'dance', 'routine.']",['dancing.'],"['dance', 'routine.']",['dancing.'],"['performing', 'a', 'dance', 'routine.']",['dancing.'],classification,"2,3"
6017,6017,4637210622.jpg#2r1e,entailment,a young man pouring tea inside of a glass jar.,A man is pouring a glass of tea.,A glass jar is a type of a glass for tea., a young man pouring tea inside of a *glass* *jar.*, A man is pouring *a* *glass* of tea.,"""A man is pouring a glass of tea"" is a rephrasing of  ""a man pouring tea inside of a glass jar""", a young man *pouring* *tea* *inside* *of* *a* *glass* *jar.*, A man is *pouring* *a* *glass* *of* *tea.*,"""Pouring a glass of tea"" is a rephrasing of ""pouring tea.""", a young man *pouring* *tea* inside of a glass jar., A man is *pouring* *a* *glass* *of* *tea.*,"['glass', 'jar.']","['a', 'glass']","['pouring', 'tea', 'inside', 'of', 'a', 'glass', 'jar.']","['pouring', 'a', 'glass', 'of', 'tea.']","['pouring', 'tea']","['pouring', 'a', 'glass', 'of', 'tea.']",classification,1
6018,6018,2351762979.jpg#3r1e,entailment,A girl climbing a chain link fence.,A girl is on a fence.,"The girl climbing a fence implies that she is on the fence performing the act of climbing. Thus, she is on a fence.", A girl *climbing* *a* chain link fence., A girl *is* *on* a fence.,"Chain link fence is a type of fence, and climbing implies is on.", A girl *climbing* a *chain* *link* *fence.*, A girl *is* *on* a *fence.*,to be on the fence you had to climb the fence first, A girl *climbing* *a* chain link *fence.*, A girl is *on* a *fence.*,"['climbing', 'a']","['is', 'on']","['climbing', 'chain', 'link', 'fence.']","['is', 'on', 'fence.']","['climbing', 'a', 'fence.']","['on', 'fence.']",classification,2
6055,6055,6982756534.jpg#0r1e,entailment,A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.,The woman is carrying a basket down the street.,"A woman currently carries the basket along the street, this is a summary without the description of her clothes and the type of street.", A woman in a bright pink and green skirt *carries* a large wicker *basket* on her back up a stone-cobbled *street.*, The woman is carrying a basket down the street.,'The woman is carrying a basket down the street' is a less detailed rephrasing of 'A woman....carries a large wicker basket...up a stone-cobbled street'., A *woman* in a bright pink and green skirt *carries* *a* *large* *wicker* *basket* on her back *up* *a* *stone-cobbled* *street.*, The *woman* *is* *carrying* *a* *basket* *down* *the* *street.*,"Woman in a bright pink and green skirt is a type of woman, and large wicker basket is a type of basket.", A *woman* *in* *a* *bright* *pink* *and* *green* *skirt* carries a *large* *wicker* *basket* on her back up a stone-cobbled street., The *woman* is carrying a *basket* down the street.,"['carries', 'basket', 'street.']",[],"['woman', 'carries', 'a', 'large', 'wicker', 'basket', 'up', 'a', 'stone-cobbled', 'street.']","['woman', 'is', 'carrying', 'a', 'basket', 'down', 'the', 'street.']","['woman', 'in', 'a', 'bright', 'pink', 'and', 'green', 'skirt', 'large', 'wicker', 'basket']","['woman', 'basket']",classification,"1,3"
6062,6062,312427606.jpg#1r1e,entailment,A young girl with blond-hair eating a peach.,There is fruit present.,The fruit being eaten is a peach., A young girl with blond-hair eating a *peach.*, There is *fruit* present.,a peach is a type of fruit, A young girl with blond-hair eating a *peach.*, There is *fruit* present.,A peach is a fruit., A young girl with blond-hair eating a *peach.*, There is *fruit* present.,['peach.'],['fruit'],['peach.'],['fruit'],['peach.'],['fruit'],classification,2
6068,6068,2688848759.jpg#1r1e,entailment,Several people talk and drink beer while sitting around a picnic table.,People talking and drinking while sitting at a table outside.,"If people are talking and drinking while sitting around a picnic table, the table must be outside.", Several people *talk* and *drink* beer while *sitting* around a *picnic* *table.*, People talking and drinking while sitting at a *table* *outside.*,A picnic table is a type of table that is outside., Several people talk and drink beer while sitting around a *picnic* *table.*, People talking and drinking while sitting at a *table* *outside.*,A picnic table is a type of table., Several people talk and drink beer while sitting around a *picnic* *table.*, People talking and drinking while sitting at a table outside.,"['talk', 'drink', 'sitting', 'picnic', 'table.']","['table', 'outside.']","['picnic', 'table.']","['table', 'outside.']","['picnic', 'table.']",[],classification,"2,3"
6087,6087,2234018985.jpg#4r1e,entailment,A small dog looking up to his loving owner.,A dog is looking up.,A small dog is a form of dog., *A* *small* *dog* looking up to his loving owner., A *dog* is looking up.,A small dog looking up at his owner is the same as a dog looking up., A small dog *looking* *up* *to* *his* *loving* *owner.*, A dog is *looking* *up.*,"""A dog is looking up"" is a less descriptive rephrasing of ""A small dog is looking up to his loving owner.""", A small *dog* *looking* *up* to his loving owner., A *dog* is *looking* *up.*,"['A', 'small', 'dog']",['dog'],"['looking', 'up', 'to', 'his', 'loving', 'owner.']","['looking', 'up.']","['dog', 'looking', 'up']","['dog', 'looking', 'up.']",classification,1
6092,6092,6596861005.jpg#0r1e,entailment,A woman in a red shirt looks at a map while with a view of a river and several boats in the background.,"A woman looks at a map outdoors, a river and boats are behind her.",A woman in a red shirt looks at a map entails woman looking at map outdoors as part of the description of a river and boats in the background or behind her., A *woman* in a red shirt looks at a map while with *a* view of a *river* and *several* *boats* in the *background.*," *A* *woman* looks at a map outdoors, a river and boats are *behind* *her.*",The view of river can be found only in the outdoors, A woman in a red shirt looks at a map while with a view of a *river* and *several* *boats* *in* *the* *background.*," A woman looks at a map *outdoors,* a river and boats are behind her.","Woman in a red shirt is a type of woman, and river implies outdoors.", A *woman* *in* *a* *red* *shirt* looks at a map while with a view of a *river* and several boats in the background.," A *woman* looks at a map *outdoors,* a river and boats are behind her.","['woman', 'a', 'river', 'several', 'boats', 'background.']","['A', 'woman', 'behind', 'her.']","['river', 'several', 'boats', 'in', 'the', 'background.']",['outdoors'],"['woman', 'in', 'a', 'red', 'shirt', 'river']","['woman', 'outdoors']",classification,3
