,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
3288,3288,3640104986.jpg#3r1e,entailment,The elaborate Jesus shrine is being carried in a parade.,A Jesus shrine is in the parade.,The Jesus shrine is being carried by people in the parade., The elaborate Jesus shrine is *being* *carried* in a parade., A Jesus shrine is *in* *the* *parade.*,Elaborate Jesus shrine is a type of Jesus shrine., The *elaborate* *Jesus* *shrine* is being carried in a parade., A *Jesus* *shrine* is in the parade.,"For something to be carried in a parade, it must be in the parade.", The elaborate *Jesus* *shrine* is being *carried* in a *parade.*, A *Jesus* *shrine* is in the *parade.*,['being carried'],['in the parade'],['elaborate Jesus shrine'],['Jesus shrine'],"['Jesus shrine', 'carried', 'parade']","['Jesus shrine', 'parade']",classification
3299,3299,7810644900.jpg#4r1e,entailment,Man with dreadlocks on a skateboard in the middle of the street.,The man is outside.,Streets are outside., Man with dreadlocks on a skateboard in the middle of the *street.*, The man is *outside.*,"Man with dreadlocks is a type of man, and street implies outside.", *Man* *with* *dreadlocks* on a skateboard in the middle of the *street.*, The *man* is *outside.*,"Skateboarding on the street is an outdoor activity, thus the man is outside..", *Man* with dreadlocks on a *skateboard* in the middle of the *street.*, The *man* is *outside.*,['street'],['outside'],"['Man with dreadlocks', 'street']","['man', 'outside']","['Man', 'skateboard', 'street']","['man', 'outside']",classification
3307,3307,4968323199.jpg#1r1e,entailment,Man with dark shirt in work gloves and a helmet that has a yellow flashlight attached.,A man with gloves and a flashlight.,A man with gloves and a flashlight is rephrasing man in work gloves that has a yellow jacket by shortening it., *Man* with dark shirt *in* *work* *gloves* and a helmet *that* *has* *a* *yellow* *flashlight* attached., A *man* *with* *gloves* *and* *a* *flashlight.*,There are both a man with gloves a type of flashlight in each scene., Man with dark shirt in work *gloves* and a helmet that has a yellow *flashlight* attached., A man with *gloves* and a *flashlight.*,A man with gloves and a flashlight is an abbreviated form of Man with dark shirt in work gloves and a helmet that has a yellow flashlight attached, *Man* with dark shirt *in* *work* *gloves* and a helmet *that* *has* *a* *yellow* *flashlight* attached., A *man* *with* *gloves* *and* *a* *flashlight.*,"['Man', 'in work gloves', 'that has a yellow flashlight']",['man with gloves and a flashlight'],"['gloves', 'flashlight']","['gloves', 'flashlight']","['Man', 'in work gloves', 'that has a yellow flashlight']",['man with gloves and a flashlight'],classification
3337,3337,572163357.jpg#4r1e,entailment,Person in yellow shirt is cleaning the way.,Someone wearing yellow is doing work.,Answer: Someone is the person in yellow shirt and his work is cleaning the way., *Person* *in* *yellow* *shirt* is *cleaning* the *way.*, *Someone* wearing yellow is doing *work.*,Cleaning is a form of work., Person in yellow shirt is *cleaning* the way., Someone wearing yellow is doing *work.*,Cleaning is a form of work., Person in yellow shirt is *cleaning* the way., Someone wearing yellow is doing *work.*,"['Person in yellow shirt', 'cleaning', 'way']","['Someone', 'work']",['cleaning'],['work'],['cleaning'],['work'],classification
3352,3352,4771382382.jpg#0r1e,entailment,"A man is using a long lens on a camera to take a closeup of a colorful, chubby man on a bicycle with a large maroon and white umbrella attached to it.",A man taking a picture of someone.,A man taking a picture is part of the activity of him using long lens to take a closeup of man on a bicycle.," A *man* is using a *long* *lens* on a *camera* to take a *closeup* of a colorful, chubby *man* on a *bicycle* with a large maroon and white umbrella attached to it.", A *man* *taking* a *picture* of someone.,"A man using a camera to take a specific type of photograph of a specific man, would be taking a picture of someone."," A *man* is using a long lens on a *camera* to take a closeup of a colorful, chubby *man* on a bicycle with a large maroon and white umbrella attached to it.", A *man* taking a *picture* of *someone.*,Using a camera to take a closeup of a man is the same as taking a picture of someone.," A man is using a long lens on a *camera* to take a *closeup* of a colorful, chubby *man* on a bicycle with a large maroon and white umbrella attached to it.", A man *taking* *a* *picture* of *someone.*,"['man', 'long lens', 'camera', 'closeup', 'man', 'bicycle']","['man taking', 'picture']","['man', 'camera', 'man']","['man', 'picture', 'someone']","['camera', 'closeup', 'man']","['taking a picture', 'someone']",classification
3368,3368,3696246123.jpg#3r1e,entailment,Two dogs play with tennis ball in field.,The dogs are romping across the field.,The dogs that play with tennis ball in field are romping across the field., Two dogs *play* *with* *tennis* *ball* *in* *field.*, The dogs are *romping* *across* *the* *field.*,Playing in the field is the same as romping in the field., Two dogs *play* with tennis ball *in* *field.*, The dogs are *romping* across *the* *field.*,Romping is a kind of play., Two dogs *play* with tennis ball in field., The dogs are *romping* across the field.,['play with tennis ball in field'],['romping across the field'],"['play', 'in field']","['romping', 'the field']",['play'],['romping'],classification
3375,3375,4735873109.jpg#2r1e,entailment,A man in a yellow and blue jeans is running through water.,A man in yellow and blue jeans is running through water.,A man is a man., A *man* in a yellow and blue jeans is running through water., A *man* in yellow and blue jeans is running through water.,Man in a yellow and blue jeans is a type of man., A *man* *in* *a* *yellow* *and* *blue* *jeans* is running through water., A *man* in yellow and blue jeans is running through water.,Running through water is a man in yellow wearing blue jeans., A man in a *yellow* and *blue* jeans is running through water., A man in *yellow* and blue *jeans* is running through water.,['man'],['man'],['man in a yellow and blue jeans'],['man'],"['yellow', 'blue']","['yellow', 'jeans']",classification
3378,3378,6526560433.jpg#1r1e,entailment,A football player in a black uniform appears ready to tackle an opponent in a white uniform who is in possession of the ball.,Two football players are playing on a football field.,A football player and his opponent playing on a football field means that there are two football players., A *football* *player* in a black uniform appears ready to tackle an *opponent* in a white uniform who is in possession of the ball., *Two* *football* *players* are *playing* on a *football* *field.*,"Player in a black uniform and opponent in a white uniform are two football players, and ready to tackle implies playing.", A football *player* *in* *a* *black* *uniform* appears *ready* *to* *tackle* an *opponent* *in* *a* *white* *uniform* who is in possession of the ball., *Two* *football* *players* are *playing* on a football field.,"One must be on a football field to play football. An opponent is a type of football player. ""Ready to tackle"" and ""possession of the ball"" are phrases used when playing football.", A *football* *player* in a black uniform appears *ready* *to* *tackle* an *opponent* in a white uniform who is in *possession* *of* *the* *ball.*, Two *football* *players* are *playing* on a *football* *field.*,"['football player', 'opponent']","['Two football players', 'playing', 'football field']","['player in a black uniform', 'ready to tackle', 'opponent in a white uniform']","['Two football players', 'playing']","['football player', 'ready to tackle', 'opponent', 'possession of the ball']","['football players', 'playing', 'football field']",classification
3382,3382,3409506817.jpg#0r1e,entailment,A black limousine in front of a marble building with a crowd of people on the buildings steps.,A black limousine is in front of a marble building.,"""A black limousine is in front of a marble building"" is a rephrasing of ""A black limousine in front of a marble building with a crowd of people on """, A black *limousine* in front of a marble building with a *crowd* of people on the buildings steps., A black *limousine* is in front of a *marble* building.,Marble building with a crowd of people is a type of marble building., A black limousine in front of a *marble* *building* *with* *a* *crowd* *of* *people* on the buildings steps., A black limousine is in front of a *marble* *building.*,A black limousine in front of a marble building is inferred as black limousine is in front of a marble building., A black limousine *in* *front* *of* *a* *marble* *building* with a crowd of people on the buildings steps., A black limousine *is* *in* *front* *of* *a* *marble* *building.*,"['limousine', 'crowd']","['limousine', 'marble']",['marble building with a crowd of people'],['marble building'],['in front of a marble building'],['is in front of a marble building'],classification
3393,3393,8042217958.jpg#0r1e,entailment,"A woman watching six televisions, while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.",The woman is inside.,The woman is inside the beautiful room.," A woman watching six televisions, while sitting on a hardwood floor in a *beautiful* *room* made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.", The *woman* is *inside.*,A woman is inside watching television.," A woman *watching* six *televisions,* while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.", The *woman* is *inside.*,"Woman watching six televisions is a type of woman, and room implies inside."," A *woman* *watching* *six* *televisions,* while sitting on a hardwood floor in a beautiful *room* made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.", The *woman* is *inside.*,['beautiful room'],"['woman', 'inside']","['watching', 'televisions']","['woman', 'inside']","['woman watching six televisions', 'room']","['woman', 'inside']",classification
3428,3428,6063730184.jpg#3r1e,entailment,A young boy and his dog play at the edge of a public beach.,the kid plays with his dog at the beach,A young boy and kid are synonymous as part the description at the beach (public beach)., A *young* *boy* and his dog play at the edge of a public *beach.*, the *kid* plays with his dog at the *beach*,"Young boy is a kid, and public beach is a type of beach.", A *young* *boy* and his dog play at the edge of a *public* *beach.*, the *kid* plays with his dog at the *beach*,The boy is a kid., A young *boy* and his dog play at the edge of a public beach., the *kid* plays with his dog at the beach,"['young boy', 'beach']","['kid', 'beach']","['young boy', 'public beach']","['kid', 'beach']",['boy'],['kid'],classification
